_id,studentId,personalityType,English,Geography,Civics,History,Biology,Physics,Chemistry,Maths,analyticalIndex,technicalIndex,creativeIndex,DOMINANT,CAUTIOUS,INSPIRING,SUPPORTIVE,title
1,7,ISTP,100,100,75,75,75,50,50,0,62.5,25,62.5,2,1,3,2,Software Programmer / Architect
2,9,ISFJ,100,100,50,100,100,75,100,75,75,50,75,2,1,3,2,Financial Manager
3,10,ENFP,100,100,100,100,75,100,75,0,87.5,37.5,75,2,1,4,1,Mathematics / Statistics Instructor
4,11,ESFP,100,100,50,100,100,100,75,0,50,25,75,1,0,3,4,Chemical Analyst
5,12,ENFP,100,100,75,100,100,100,100,100,87.5,75,75,2,2,2,2,Fashion Designer
6,13,ESTP,100,100,75,75,100,50,75,75,87.5,37.5,62.5,2,0,2,4,Nurse / Human Care
8,14,ENTJ,100,100,75,75,100,100,100,50,62.5,75,75,2,2,3,1,Human Resources Management
9,15,ENFP,100,75,75,50,75,75,100,50,87.5,25,50,3,1,1,3,Lawyer / Attorney
10,16,ENTP,100,100,75,75,100,100,100,75,75,62.5,75,1,3,4,0,Geologist
11,17,ENTP,100,100,75,100,100,100,100,75,50,37.5,62.5,0,2,2,4,Translation and Interpretation Specialist
12,18,ESTJ,100,100,100,50,75,75,100,50,62.5,75,62.5,2,1,2,3,Physician / Doctor
13,19,ESTJ,50,100,100,50,100,75,100,50,75,37.5,50,6,0,2,0,Biology Teacher
14,20,ISFJ,50,75,100,25,100,50,75,0,62.5,37.5,50,3,0,4,1,Dietician / Nutritionists
16,21,ESFJ,75,75,75,100,100,100,75,50,87.5,62.5,62.5,1,0,4,3,Pharmaceutical Administrator
17,22,ESFP,100,100,50,75,100,100,75,25,62.5,37.5,62.5,1,1,3,3,Chemistry Teacher
18,23,ESTP,75,75,100,75,100,75,100,75,25,37.5,62.5,2,3,2,1,Medical Technologist
19,24,ESFP,100,75,50,75,100,100,50,75,37.5,37.5,62.5,1,1,4,2,Dentist / Dental Hygienist
20,25,ESTP,50,100,75,100,25,75,100,0,50,62.5,37.5,1,0,6,0,Public Service Commission Officer
